Name,Address 1,Address 2,Town/City,County,Postcode,Phone number,CQC Provider ID (for office use only),CQC Location ID (for office use only),Website,Local authority,Region,Report publication date,URL,Also known as,Specialisms/services
Borradaile House,13 Walpole Road,,Brighton,East Sussex,BN2 0AF,01273673103,1-15936961944,1-16141126368,,Brighton and Hove,South East,2019-07-06T00:00:00Z,https://www.cqc.org.uk/location/1-16141126368,,"Caring for adults under 65 yrs,Learning disabilities"
Brighton & Hove City Council - Craven Vale Resource Centre,Craven Road,,Brighton,East Sussex,BN2 0FE,01273295772,1-101611279,1-129579189,,Brighton and Hove,South East,2020-02-05T00:00:00Z,https://www.cqc.org.uk/location/1-129579189,,Caring for adults over 65 yrs
Brighton & Hove City Council - 20 Windlesham Road,20 Windlesham Road,,Brighton,East Sussex,BN1 3AG,01273295477,1-101611279,1-129579158,https://www.brighton-hove.gov.uk,Brighton and Hove,South East,2018-11-09T00:00:00Z,https://www.cqc.org.uk/location/1-129579158,,"Caring for adults under 65 yrs,Learning disabilities"
College View,13a Walpole Road,,Brighton,East Sussex,BN2 0AB,01273244000,1-15936961944,1-16144057903,https://www.st-johns.co.uk,Brighton and Hove,South East,2022-12-29T00:00:00Z,https://www.cqc.org.uk/location/1-16144057903,,"Caring for adults under 65 yrs,Learning disabilities"
Pier View House,St Johnâ€™s School & College,17 Walpole Road,Brighton,,BN2 0AF,01273677451,1-15936961944,1-16147594581,,Brighton and Hove,South East,2019-04-26T00:00:00Z,https://www.cqc.org.uk/location/1-16147594581,,"Caring for adults under 65 yrs,Learning disabilities"
Birch Grove Nursing Home,1-3 Stanford Avenue,,Brighton,East Sussex,BN1 6AD,01273566111,1-101690169,1-117572506,https://www.ashtonhealthcare.co.uk,Brighton and Hove,South East,2020-02-19T00:00:00Z,https://www.cqc.org.uk/location/1-117572506,,"Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities"
Charlesworth Rest Home,37 Beaconsfield Villas,,Brighton,East Sussex,BN1 6HB,01273565561,1-101704340,1-115548229,,Brighton and Hove,South East,2019-04-30T00:00:00Z,https://www.cqc.org.uk/location/1-115548229,,Caring for adults over 65 yrs
Acorn House - Acorn Watford Limited,198 Ditchling Road,,Brighton,East Sussex,BN1 6JE,01273271237,1-101686181,1-132754015,,Brighton and Hove,South East,2022-04-05T00:00:00Z,https://www.cqc.org.uk/location/1-132754015,,Learning disabilities
Brighton & Hove City Council - 83 Beaconsfield Villas,83 Beaconsfield Villas,,Brighton,East Sussex,BN1 6HF,01273295297,1-101611279,1-129560082,,Brighton and Hove,South East,2023-07-13T00:00:00Z,https://www.cqc.org.uk/location/1-129560082,,"Caring for adults under 65 yrs,Learning disabilities"
Sycamore Court,Fitzherbert Drive,Bear Road,Brighton,East Sussex,BN2 4DU,01273697331,1-19880134345,1-19884155471,,Brighton and Hove,South East,2025-02-17T09:49:56Z,https://www.cqc.org.uk/location/1-19884155471,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs"
