"Charity Number","Charity Subsidiary Number","Charity Name","Charity Address","Charity Postcode","Charity Constituency","Phone","Email","Website","Last Recorded Financial Year","Last Recorded Income","Last Recorded Expenditure","Charity Status","Charity Type","How the charity helps","What the charity does","Who the charity helps","Activities","Charity Objects"
"204025","0","THE SPIRITUAL REGENERATION MOVEMENT OF GREAT BRITAIN","25 Brangwyn Avenue, BRIGHTON","BN1 8XH","Brighton Pavilion","07976214373","","","31/12/2023","125442","157910","Registered","Trust","Provides Services","General Charitable Purposes","The General Public/mankind","Utilises the teaching of Maharishi Mahesh Yogi, including Transcendental Meditation, as a means of reducing suffering and developing the full potential of the individual and of alleviating social unhappiness by raising positivity and coherence in collective consciousness","ADVANCEMENT OF THE RELIGIOUS PURPOSES OF THE SPIRITUAL REGENERATION MOVEMENT, INCLUDING THE FULFILMENT OF THE PURPOSES OF THE CHRISTIAN RELIGION, THE ALLEVIATION OF SUFFERING AND SOCIAL UNHAPPINESS AND THE RELIEF OF POVERTY."
"206372","0","BRIGHTON AND HOVE ARCHAEOLOGICAL SOCIETY","Flat 7, 15 Brunswick Place, Hove, East Sussex","BN3 1ND","Hove and Portslade","07948830957","membership@brightonarch.org.uk","www.brightonarch.org.uk","30/09/2024","6834","6759","Registered","Other","Sponsors Or Undertakes Research","Education/training, Environment/conservation/heritage","Children/young People, Elderly/old People, The General Public/mankind","Archaeological digs - active Field Unit
Lectures
Day Schools
Trips","THE OBJECTS SHALL BE TO UNDERTAKE AND PROMOTE THE STUDY AND APPRECIATION OF ARCHAEOLOGY AND HISTORY AND TO ENSURE THE PROPER RECORDING AND PRESERVATION OF LOCAL ANTIQUITIES AND THE AREA'S HERITAGE."
"207727","0","ST BERNARD'S CHARITY","69 New Church Road, HOVE, East Sussex","BN3 4BA","Hove and Portslade","01273281332","johneputtock@aol.com","","31/12/2024","38046","44800","Registered","Other","Makes Grants To Individuals, Makes Grants To Organisations","The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty","Elderly/old People, People With Disabilities","To relieve women who are in need of financial assistance in sickness, convalescence or old age of themselves, their spouses or dependents","TO RELIEVE WOMEN WHO ARE IN NEED OF FINANCIAL ASSISTANCE THROUGH SICKNESS, CONVALESCENCE OR OLD AGE OF THEMSELVES, THEIR SPOUSES OR DEPENDENTS."
"208770","0","CHARITY OF CHARLES HALLETT FINCH","211 New Church $Road, Hove, East Sussex","BN3 4ED","Hove and Portslade","01273420556","stleonardsaldringtoncw@gmail.com","","31/12/2024","549","0","Registered","Other","Makes Grants To Individuals","The Prevention Or Relief Of Poverty","Children/young People, Elderly/old People, People With Disabilities","Financial disbursements to parishioners of the parish of Aldrington in the winter months","BY BEQUEST OF ú1000 TO THE RECTOR AND CHURCHWARDEN OF ALDRINGTON (ST. LEONARD HOVE) FOR INVESTMENT THE INCOME TO BE APPLIED FOR THE RELIEF OF THEIR POOREST DESERVING PARISHIONERS DURING THE WINTER MONTHS."
"208935","0","THE ROTARY CLUB OF HOVE CHARITABLE TRUST","58 Saltdean Drive, Saltdean, BRIGHTON","BN2 8SB","Brighton Kemptown and Peacehaven","01273307942","","www.hoverotaryclub.name","30/06/2024","4875","7100","Registered","Other","Makes Grants To Individuals, Makes Grants To Organisations","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, Overseas Aid/famine Relief","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies","The club holds fund raising activities. The Charity aims to help the young and old plus people with special needs. This is undertaken by giving to other charities, schools and voluntary bodies. It also supports the international charity Rotary Foundation and charities active in disaster relief worldwide","CHARITABLE PURPOSES IN ACCORDANCE WITH THE INSTRUCTIONS RECEIVED FROM TIME TO TIME BY THE COUNCIL OF THE ROTARY CLUB OF HOVE."
"209414","0","FRIENDS OF BRIGHTON AND HOVE HOSPITALS","37 ST. GEORGES ROAD, BRIGHTON","BN2 1ED","Brighton Kemptown and Peacehaven","01273664936","office@brightonhospitalfriends.org.uk","www.brightonhospitalfriends.org.uk","31/12/2024","623283","175994","Registered","Other","Provides Other Finance, Provides Services, Acts As An Umbrella Or Resource Body","General Charitable Purposes, The Advancement Of Health Or Saving Of Lives","Children/young People, Elderly/old People, People With Disabilities, The General Public/mankind","Friends of Brighton & Hove Hospitals work to provide innovative new equipment as well as patient comforts in hospitals and community healthcare facilities across the City.","TO ENCOURAGE, FOSTER AND MAINTAIN THE INTEREST OF THE PUBLIC IN THE PATIENTS AND STAFF AND TO SUPPORT THE WORK OF THE BRIGHTON HOVE AND NEWHAVEN GROUP BY MEANS OF VOLUNTARY SERVICE. (FOR OTHER OBJECTS PLEASE SEE CLAUSE 3 OF THE CONSTITUTION)"
"209762","0","DOROTHY KATHLEEN JACKSON CHARITY","Flat 1, 123 Lansdowne Place, HOVE, East Sussex","BN3 1FP","Hove and Portslade","07850155265","","","30/06/2024","4456","5700","Registered","Other","Makes Grants To Individuals, Makes Grants To Organisations","General Charitable Purposes","Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies","To make grants in December to elderly residents of Hove and Portslade who live alone.","FOR THE USE AND BENEFIT OF THE POOR AND NEEDY RESIDENTS OF THE BOROUGH OF HOVE."
"210194","0","REGENCY SOCIETY OF BRIGHTON AND HOVE","2 Royal Crescent Mews, Brighton","BN2 1AW","Brighton Kemptown and Peacehaven","01273820575","chair@regencysociety.org","www.regencysociety.org","31/12/2024","17407","28349","Registered","Other","Provides Services, Provides Advocacy/advice/information","Environment/conservation/heritage","The General Public/mankind","The Society is a conservation, preservation and amenity organisation operating in and around Brighton and Hove. It is a membership organisation. We regularly review and often comment upon planning applications that affect our area. We organise lectures and study tours, and publish occasional papers to raise awareness of our city's heritage and other issues related to our objects.","(1) TO PROMOTE FOR THE BENEFIT OF THE PUBLIC THE CONSERVATION, PROTECTION AND IMPROVEMENT OF THE PHYSICAL AND BUILT ENVIRONMENT OF THE CITY OF BRIGHTON AND HOVE AND THE SURROUNDING AREA.

(2) TO ADVANCE THE EDUCATION OF THE PUBLIC IN THE HISTORY, CONSERVATION, PROTECTION, AND IMPROVEMENT OF THIS PHYSICAL AND BUILT UP ENVIRONMENT."
"212270","0","BRIGHTON AND HOVE ALMSHOUSE CHARITY","c/o Coole Bevis LLP, 15 Prince Albert Street, Brighton","BN1 1HY","Brighton Pavilion","01273323231","info@coolebevisllp.com","","31/12/2023","96393","104289","Registered","Other","Provides Buildings/facilities/open Space","Accommodation/housing","Elderly/old People","The Charity's principal objective is to provide accomodation within the almshouse for poor people of good character residing in the former County Borough of Brighton and Borough of Hove, now a Unitary Authority known as Brighton & Hove City Council.","THE PROVISION OF ALMSHOUSES."
"212584","0","JOHN HOWARD NURSES' HOMES","ST. GEORGES CHURCH, ST. GEORGES ROAD, BRIGHTON","BN2 1ED","Brighton Kemptown and Peacehaven","01273279448","","www.stgeorgesbrighton.com","31/03/2025","147406","91673","Registered","Other","Provides Buildings/facilities/open Space","Accommodation/housing","Elderly/old People, Other Defined Groups","To provide relief for former nurses who are in need, hardship or distress","1) THE RELIEF OF FORMER NURSES WHO ARE IN NEED, HARDSHIP OR DISTRESS.
2) THE TRUSTEE MAY RELIEVE SUCH PERSONS IN NEED BY;
A) PROVIDING HOUSING ACCOMMODATION; OR
B) MAKING GRANTS OF MONEY TO THEM; OR
C) PROVIDING OR PAYING FOR GOODS, SERVICES OR FACILITIES FOR THEM; OR
D) MAKING GRANTS OF MONEY TO OTHER SUCH PERSONS OF BODIES WHO PROVIDE GOODS, SERVICES OR FACILITIES TO SUCH PERSONS IN NEED."
